iter	RMSE
0	3.053369041
1	2.97384753
2	2.90071637
3	2.831053045
4	2.766427771
5	2.706139481
6	2.646871648
7	2.593793957
8	2.543162797
9	2.496948929
10	2.45343075
11	2.4116441
12	2.371716386
13	2.332081907
14	2.293126682
15	2.256567181
16	2.224647979
17	2.195247926
18	2.166188152
19	2.139560433
20	2.115212491
21	2.090717344
22	2.066406005
23	2.044151307
24	2.022372481
25	2.001554401
26	1.982131296
27	1.964342623
28	1.944811236
29	1.928546966
30	1.912578097
31	1.897418972
32	1.884405289
33	1.87127419
34	1.85962341
35	1.84638405
36	1.833988962
37	1.822736815
38	1.811607301
39	1.801453155
40	1.789933152
41	1.778718918
42	1.768678498
43	1.759165194
44	1.750692356
45	1.741091721
46	1.733762945
47	1.725107074
48	1.717459263
49	1.711025796
50	1.704468244
51	1.697884977
52	1.691099562
53	1.685234292
54	1.678301091
55	1.671999245
56	1.666409457
57	1.661157441
58	1.656094428
59	1.649808252
60	1.645155141
61	1.640387025
62	1.63390854
63	1.628621652
64	1.622521393
65	1.618489638
66	1.612760901
67	1.608716622
68	1.604377357
69	1.599684664
70	1.594985277
71	1.590581329
72	1.58760172
73	1.583460344
74	1.578137263
75	1.574135493
76	1.570155979
77	1.56607918
78	1.562297738
79	1.559098619
80	1.556413742
81	1.552512848
82	1.549697257
83	1.546509763
84	1.543991584
85	1.541361509
86	1.538347059
87	1.533281409
88	1.530132355
89	1.527442541
90	1.524636891
91	1.521904347
92	1.518811276
93	1.516159396
94	1.514224644
95	1.511013277
96	1.508416384
97	1.505480667
98	1.503299216
99	1.500702372
100	1.498752579
101	1.496222188
102	1.494059676
103	1.490958944
104	1.488983945
105	1.487134503
106	1.484782179
107	1.483116575
108	1.480333054
109	1.477418721
110	1.475170526
111	1.473087066
112	1.470403927
113	1.468521275
114	1.466461704
115	1.46402813
116	1.462487151
117	1.460333939
118	1.45819567
119	1.455755806
120	1.453964425
121	1.451800263
122	1.449306158
123	1.447481858
124	1.445026836
125	1.443245851
126	1.441131651
127	1.439482978
128	1.438013706
129	1.436520181
130	1.434959489
131	1.433568594
132	1.432275717
133	1.430341718
134	1.42849316
135	1.42677773
136	1.425512766
137	1.423220247
138	1.421784602
139	1.420476958
140	1.41852828
141	1.417476718
142	1.41591027
143	1.414154776
144	1.412920491
145	1.411444999
146	1.410100641
147	1.408714697
148	1.407330566
149	1.406155639
150	1.404433361
151	1.403186456
152	1.40165694
153	1.400067619
154	1.398820345
155	1.397694688
156	1.395834104
157	1.394072878
158	1.392709438
159	1.39186765
160	1.390999122
161	1.389803045
162	1.388552482
163	1.387614465
164	1.386385103
165	1.385413448
166	1.384289304
167	1.382837879
168	1.381816117
169	1.380910108
170	1.379530213
171	1.377968917
172	1.376878064
173	1.376043855
174	1.374234701
175	1.373148471
176	1.371560501
177	1.37046424
178	1.369345404
179	1.367823401
180	1.366825849
181	1.365544169
182	1.364515053
183	1.363693265
184	1.362624682
185	1.361927361
186	1.361148092
187	1.359944508
188	1.358474442
189	1.357387885
190	1.356348924
191	1.354886473
192	1.353937422
193	1.353020352
194	1.352251264
195	1.351255966
196	1.350143584
197	1.349547089
198	1.348291075
199	1.347549153
200	1.347046161
201	1.346233423
202	1.34503585
203	1.344336281
204	1.34353868
205	1.343016598
206	1.342144332
207	1.341223695
208	1.340417808
209	1.339591758
210	1.338969983
211	1.338470636
212	1.337808403
213	1.336588568
214	1.335786375
215	1.335034316
216	1.333949199
217	1.333241824
218	1.332415265
219	1.331540787
220	1.330498785
221	1.329878165
222	1.329013714
223	1.328246788
224	1.327671401
225	1.326772833
226	1.325959124
227	1.325063739
228	1.324225983
229	1.323443102
230	1.322605924
231	1.321743051
232	1.320942632
233	1.320181909
234	1.319401766
235	1.318517573
236	1.317710233
237	1.317071455
238	1.316426003
239	1.315710591
240	1.31478148
241	1.3138855
242	1.313189401
243	1.312453147
244	1.311733885
245	1.311020221
246	1.310301035
247	1.309628338
248	1.308504911
249	1.307379313
250	1.306252
251	1.305582981
252	1.304831659
253	1.303936962
254	1.303266376
255	1.302574116
256	1.301809611
257	1.30101338
258	1.300197005
259	1.299594869
260	1.298969768
261	1.298318872
