iter	Passed	Remaining
0	54	54102
1	106	52992
2	154	51234
3	205	51131
4	256	50950
5	312	51719
6	363	51589
7	419	52039
8	468	51592
9	522	51720
10	570	51311
11	618	50948
12	667	50713
13	720	50737
14	774	50845
15	830	51097
16	885	51208
17	936	51107
18	1004	51839
19	1071	52493
20	1134	52906
21	1195	53133
22	1256	53378
23	1306	53146
24	1355	52861
25	1404	52596
26	1457	52512
27	1506	52309
28	1556	52118
29	1633	52818
30	1764	55159
31	1839	55651
32	1903	55786
33	1960	55696
34	2021	55727
35	2082	55773
36	2149	55947
37	2209	55937
38	2272	55985
39	2335	56062
40	2395	56029
41	2448	55850
42	2496	55558
43	2543	55272
44	2596	55109
45	2648	54919
46	2695	54649
47	2743	54418
48	2799	54340
49	2849	54136
50	2896	53889
51	2945	53696
52	2992	53462
53	3042	53307
54	3095	53182
55	3144	52999
56	3193	52826
57	3245	52706
58	3297	52597
59	3346	52421
60	3390	52189
61	3438	52023
62	3491	51925
63	3540	51778
64	3587	51603
65	3636	51468
66	3683	51288
67	3733	51168
68	3780	51013
69	3832	50912
70	3882	50794
71	3931	50678
72	3982	50572
73	4029	50428
74	4079	50308
75	4126	50164
76	4173	50024
77	4230	50006
78	4276	49856
79	4325	49737
80	4370	49591
81	4418	49463
82	4469	49383
83	4517	49264
84	4563	49125
85	4612	49016
86	4659	48898
87	4714	48860
88	4764	48771
89	4813	48670
90	4860	48554
91	4908	48442
92	4961	48391
93	5011	48303
94	5062	48230
95	5112	48145
96	5160	48045
97	5219	48039
98	5266	47929
99	5317	47859
100	5364	47750
101	5413	47664
102	5466	47608
103	5520	47559
104	5567	47458
105	5615	47357
106	5664	47278
107	5720	47251
108	5777	47229
109	5830	47173
110	5880	47094
111	5932	47039
112	5989	47018
113	6040	46944
114	6089	46861
115	6141	46800
116	6195	46756
117	6245	46681
118	6292	46585
119	6340	46495
120	6393	46445
121	6445	46383
122	6493	46298
123	6548	46258
124	6597	46183
125	6657	46181
126	6710	46128
127	6761	46059
128	6810	45980
129	6887	46093
130	6936	46010
131	6982	45916
132	7032	45845
133	7083	45778
134	7131	45697
135	7180	45614
136	7230	45545
137	7283	45493
138	7333	45426
139	7382	45346
140	7430	45267
141	7485	45231
142	7569	45362
143	7624	45325
144	7675	45261
145	7729	45212
146	7782	45157
147	7827	45063
148	7875	44981
149	7922	44895
150	7972	44828
151	8020	44747
152	8072	44691
153	8122	44621
154	8211	44764
155	8273	44760
156	8321	44682
157	8371	44613
158	8420	44540
159	8474	44491
160	8520	44402
161	8570	44335
162	8618	44256
163	8672	44209
164	8721	44134
165	8771	44069
166	8817	43982
167	8869	43922
168	8923	43879
169	8998	43932
170	9089	44067
171	9141	44006
172	9195	43959
173	9244	43884
174	9293	43812
175	9342	43741
176	9395	43685
177	9442	43604
178	9491	43534
179	9538	43454
180	9592	43404
181	9641	43334
182	9690	43263
183	9740	43195
184	9790	43129
185	9842	43074
186	9889	42996
187	9940	42932
188	9990	42867
189	10042	42811
190	10095	42762
191	10142	42683
192	10198	42645
193	10266	42652
194	10352	42738
195	10418	42736
196	10484	42735
197	10535	42672
198	10587	42616
199	10636	42545
200	10682	42463
201	10729	42386
202	10779	42320
203	10830	42261
204	10879	42192
205	10930	42129
206	10981	42067
207	11033	42010
208	11085	41956
209	11135	41890
210	11185	41825
211	11235	41762
212	11292	41724
213	11340	41654
214	11389	41585
215	11435	41506
216	11487	41449
217	11534	41375
218	11581	41301
219	11626	41222
220	11683	41182
221	11750	41180
222	11834	41235
223	11900	41226
224	11969	41226
225	12030	41200
226	12093	41183
227	12167	41198
228	12239	41208
229	12303	41189
230	12367	41171
231	12440	41183
232	12508	41174
233	12574	41162
234	12643	41160
235	12708	41142
236	12778	41139
237	12848	41137
238	12912	41114
239	12980	41105
240	13051	41105
241	13115	41079
242	13179	41055
243	13251	41057
244	13317	41039
245	13381	41014
246	13444	40987
247	13516	40986
248	13582	40964
249	13645	40935
250	13693	40863
251	13744	40796
252	13798	40740
253	13844	40662
254	13893	40590
255	13939	40512
256	13995	40462
257	14043	40389
258	14093	40322
259	14141	40248
260	14194	40190
261	14271	40199
262	14326	40146
263	14375	40076
264	14425	40010
265	14485	39972
266	14547	39938
267	14603	39888
268	14659	39837
269	14722	39804
270	14782	39764
271	14833	39700
272	14884	39638
273	14943	39594
274	14999	39543
275	15058	39501
276	15114	39450
277	15176	39416
278	15251	39413
279	15314	39379
280	15372	39334
281	15439	39309
282	15502	39275
283	15561	39231
284	15627	39205
285	15691	39174
286	15752	39135
287	15823	39118
288	15886	39084
289	15954	39061
290	16027	39048
291	16105	39051
292	16178	39038
293	16251	39026
294	16315	38992
295	16383	38966
296	16454	38948
297	16518	38912
298	16585	38884
299	16667	38891
300	16741	38877
301	16823	38884
302	16890	38852
303	16954	38817
304	17019	38782
305	17091	38764
306	17189	38801
307	17321	38916
308	17422	38960
