,beds,sqft
26,Baths,
118,Bath,
188,4 bd,
202,Baths,
215,Bath,
216,6 Beds,
227,2 Beds,
239,4 bd,
272,0.25 acres,
301,-- bd,
426, ,
431,1 bd,
480,Bath,
481,0.44 acres,
508,3 bd,
536,1.43 acres,
562,Baths,
688,2,
721,0.32 acres,
739,2 Beds,
858,2 Beds,
881,Baths,
937,6,
953,5 Beds,
957,"8,637 sqft",
1021,4 bd,
1056,Baths,
1190,9.7 acres,
1192,-- bd,
1236,5 bd,
1276,2 bd,
1288, ,
1305,3 bd,
1339,Baths,
1384,2 bd,
1402,"10,310 sqft",
1438,3,
1450,"6,250 sqft",
1476,4 Beds,
1502,3.02 acres,
1529,2 acres,
1544,Baths,
1655,5 Beds,
1658,Bath,
1678,3 bd,
1679,3 Beds,
1711,Baths,
1823,3 Beds,
1841,"5,000 sqft",
1849,0.96 acres,
1912,2 Beds,
2001,6 bd,
2008,3,
2010,3 Beds,
2051,Baths,
2054,6.31 acres,
2111,0.6 acres,
2141,Baths,
2151,3 Beds,
2185,8 Beds,
2333,"5,662 sqft",
2340,Baths,
2391,Baths,
2423,3 Beds,
2427,"2,200 sqft",
2455,Bath,
2466,Bath,
2472,2 Beds,
2570,0.46 acres,
2610,0.59 acres,
2626,-- bd,
2636,3 bd,
2675,"2,874 sqft",
2740,4 Beds,
2875,3 bd,
2879,-- bd,
2912,0.26 acres,
2937,10 bd,
3010,4 bd,
3032,Baths,
3061,4 Beds,
3156,2 Beds,
3212,1 bd,
3256,2 bd,
3307,-- bd,
3365,0.4 acres,
3401,"2,178 sqft",
3408,4 bd,
3449,2 bd,
3506,"4,356 sqft",
3518,5 acres,
3674,2 Beds,
3745,3,
3753,Baths,
3791,Baths,
3793,3 Beds,
3891,3 bd,
3903,4 Beds,
3964,3 Beds,
4066,2,
4076,3 bd,
4128,Baths,
4186,3 Beds,
4209,Baths,
4211,2,
4254,0.55 acres,
4269,Baths,
4302,"5,501 sqft",
4303,4 bd,
4337,"8,001 sqft",
4385,5 Beds,
4396,0.7 acres,
4415,1,
4436,1.69 acres,
4468,0.88 acres,
4494,0.34 acres,
4506,3 bd,
4595,0.34 acres,
4689,3 bd,
4757,0.88 acres,
4777,Baths,
4807,2 Beds,
4834,1.5 acres,
4896,0.97 acres,
4928,2,
4968,"7,405 sqft",
5014,Baths,
5092,Bath,
5098,Baths,
5121,2 bd,
5128,0,
5130,8.43 acres,
5172,Baths,
5217,"1,502 sqft",
5310,"8,712 sqft",
5385,"8,189 sqft",
5391,3 bd,
5400,Baths,
5410,1.04 acres,
5436,Bath,
5450,"8,973 sqft",
5457,"7,148 sqft",
5502,0.46 acres,
5589,Baths,
5772,Baths,
5777,Baths,
5808,Baths,
5826,0.43 acres,
5835,2 Beds,
5885,"8,494 sqft",
5896,1.43 acres,
5947,-- sqft,
5950,0,
5958,4 bd,
5961,2,
5974,Baths,
5999,2 Beds,
6008,"10,001 sqft",
6082,Baths,
6088,3 bd,
6100,3 bd,
6120,3 Beds,
6165,2 bd,
6261,64 Beds,
6339,4 Beds,
6367,"5,227 sqft",
6389,Baths,
6602,3 bd,
6610,0.77 acres,
6636,"5,662 sqft",
6706,2 Beds,
6728,-- bd,
6793,4 Beds,
6805,Baths,
6821,3 Beds,
6929,Baths,
6999,Baths,
7005,1.5 acres,
7007,Baths,
7013,2 Beds,
7070,Baths,
7074,0.3 acres,
7090,2.73 acres,
7180,2 Beds,
7189,4,
7193,0.29 acres,
7265,0.34 acres,
7269,2 Beds,
7296,0.89 acres,
7300,3 Beds,
7331,Baths,
7383,2 Beds,
7460,Baths,
7485,4 Beds,
7514,-- bd,
7678,2 Beds,
7782,"6,551 sqft",
7878,0.73 acres,
7997,4 Beds,
8028,3 bd,
8052,1 bd,
8070,Baths,
8089,6 Beds,
8254,-- bd,
8262,"7,200 sqft",
8264,Baths,
8376,4 Beds,
8381,2 Beds,
8397,1.27 acres,
8490,3.56 acres,
8620,3 Beds,
8667,3 Beds,
8674,3,
8713,"7,840 sqft",
8811, ,
8891,3 bd,
8896,2.94 acres,
8955,0.58 acres,
8992,9.93 acres,
9081,"4,948 sqft",
9121,3 Beds,
9237,"7,840 sqft",
9333,Bath,
9348,3 bd,
9353,3 bd,
9399,Bath,
9408,Baths,
9472,Baths,
9562,0.68 acres,
9581,Baths,
9597,"10,245 sqft",
9623,3 bd,
9625,Baths,
9695,0.84 acres,
9710,Baths,
9723,7 Beds,
9777,"7,501 sqft",
9805,2 Beds,
9809,4 Beds,
9817,"10,798 sqft",
9841,Baths,
9872,0.39 acres,
9940,Bath,
10027,3 Beds,
10060,Baths,
10088,1.67 acres,
10139,-- bd,
10238,Baths,
10284,Baths,
10416,4 bd,
10453,0.57 acres,
10467,"8,712 sqft",
10471,3 Beds,
10481,Baths,
10498,0.31 acres,
10536,Baths,
10614,Baths,
10633,Baths,
10667,-- bd,
10671,Baths,
10709,"6,268 sqft",
10712,0.81 acres,
10720,63.05 acres,
10730,4 bd,
10733,"3,650 sqft",
10760,Baths,
10785,0.4 acres,
10804,4 Beds,
10853,4 Beds,
10859,"6,777 sqft",
10891,5 Beds,
10950,7 bd,
10985,Bath,
11007,Baths,
11102,1.72 acres,
11222,"5,745 sqft",
11255,Baths,
11325,6 Beds,
11368,"2,874 sqft",
11372,3 bd,
11439,Bath,
11450,3 bd,
11550,2 bd,
11551,2.17 acres,
11554,-- sqft,
11608,0.26 acres,
11609,3 Beds,
11685,Baths,
11728,3 Beds,
11733,1,
11826,"6,054 sqft",
11972,4 bd,
12011,"6,900 sqft",
12091,"5,000 sqft",
12120,"7,501 sqft",
12144,2.6 acres,
12174,4 bd,
12188,Baths,
12321,1.01 acres,
12326,2 Beds,
12357,5 Beds,
12390,Baths,
12415,0.99 acres,
12419,Baths,
12475,Baths,
12511,5 Beds,
12556,7.1 acres,
12558,2 Beds,
12583,4 bd,
12625,2 bd,
12633,Baths,
12729,2 Beds,
12763,Baths,
12764,Bath,
12808,"6,037 sqft",
12813,0.43 acres,
12815,3 bd,
12831,0.95 acres,
12959,1.81 acres,
13069,6 Beds,
13135,Baths,
13177,4 Beds,
13306,Baths,
13332,1.68 acres,
13346,Bath,
13385,4 bd,
